Palavra,Link,Instituicao
16,https://media.spreadthesign.com/video/mp4/14/549316.mp4,Spread the Sign
17,https://media.spreadthesign.com/video/mp4/14/549317.mp4,Spread the Sign
18,https://media.spreadthesign.com/video/mp4/14/549318.mp4,Spread the Sign
180,https://media.spreadthesign.com/video/mp4/14/549319.mp4,Spread the Sign
19,https://media.spreadthesign.com/video/mp4/14/549320.mp4,Spread the Sign
2,https://media.spreadthesign.com/video/mp4/14/549321.mp4,Spread the Sign
20,https://media.spreadthesign.com/video/mp4/14/549322.mp4,Spread the Sign
20 000,https://media.spreadthesign.com/video/mp4/14/549323.mp4,Spread the Sign
200,https://media.spreadthesign.com/video/mp4/14/549324.mp4,Spread the Sign
200 000,https://media.spreadthesign.com/video/mp4/14/549325.mp4,Spread the Sign
2000,https://media.spreadthesign.com/video/mp4/14/549326.mp4,Spread the Sign
21,https://media.spreadthesign.com/video/mp4/14/549327.mp4,Spread the Sign
22,https://media.spreadthesign.com/video/mp4/14/549328.mp4,Spread the Sign
23,https://media.spreadthesign.com/video/mp4/14/549329.mp4,Spread the Sign
24,https://media.spreadthesign.com/video/mp4/14/549330.mp4,Spread the Sign
25,https://media.spreadthesign.com/video/mp4/14/549331.mp4,Spread the Sign
26,https://media.spreadthesign.com/video/mp4/14/549332.mp4,Spread the Sign
27,https://media.spreadthesign.com/video/mp4/14/549333.mp4,Spread the Sign
28,https://media.spreadthesign.com/video/mp4/14/549334.mp4,Spread the Sign
29,https://media.spreadthesign.com/video/mp4/14/549335.mp4,Spread the Sign
3,https://media.spreadthesign.com/video/mp4/14/549336.mp4,Spread the Sign
30,https://media.spreadthesign.com/video/mp4/14/549337.mp4,Spread the Sign
30 000,https://media.spreadthesign.com/video/mp4/14/549338.mp4,Spread the Sign
300,https://media.spreadthesign.com/video/mp4/14/549339.mp4,Spread the Sign
300 000,https://media.spreadthesign.com/video/mp4/14/549340.mp4,Spread the Sign
3000,https://media.spreadthesign.com/video/mp4/14/549341.mp4,Spread the Sign
31,https://media.spreadthesign.com/video/mp4/14/549342.mp4,Spread the Sign
32,https://media.spreadthesign.com/video/mp4/14/549343.mp4,Spread the Sign
