Palavra,Link,Instituicao
Emergencia,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_emergencia_STREAM.mp4,USP
Emocionado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA07/Libras_glossario_aula07_emocionado_STREAM.mp4,USP
Encarar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_encarar_STREAM.mp4,USP
Encontro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA09/Libras_glossario_aula09_encontro_STREAM.mp4,USP
Enganar e Enganar-me,https://midia.atp.usp.br/outros/libras2015/glossario/AULA08/Libras_glossario_aula08_enganado_STREAM.mp4,USP
Ensino fundamental,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_ensino_fundamental_STREAM.mp4,USP
Ensino medio,https://midia.atp.usp.br/outros/libras2015/glossario/AULA05/Libras_glossario_aula05_ensino_medio_STREAM.mp4,USP
Entender,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_entender_STREAM.mp4,USP
Entrar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_entrar_STREAM.mp4,USP
Equiparar,https://midia.atp.usp.br/outros/libras2015/glossario/AULA06/Libras_glossario_aula06_equiparar_STREAM.mp4,USP
Erro ou errado,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_erro_errado_STREAM.mp4,USP
Escola,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_escola_STREAM.mp4,USP
Escola Inclusiva,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_escola_inclusiva_STREAM.mp4,USP
Escrever,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_escrever_STREAM.mp4,USP
Escuro,https://midia.atp.usp.br/outros/libras2015/glossario/AULA02/Libras_glossario_aula02_escuro_STREAM.mp4,USP
Esforco,https://midia.atp.usp.br/outros/libras2015/glossario/AULA10/Libras_glossario_aula10_esforco_STREAM.mp4,USP
Espantar-se,https://midia.atp.usp.br/outros/libras2015/glossario/AULA03/Libras_glossario_aula03_espantar-se_STREAM.mp4,USP
Esporte,https://midia.atp.usp.br/outros/libras2015/glossario/AULA04/Libras_glossario_aula04_esporte_STREAM.mp4,USP
Esquecer,https://midia.atp.usp.br/outros/libras2015/glossario/AULA01/Libras_glossario_aula01_esquecer_STREAM.mp4,USP
