Palavra,Link,Instituicao
ANOS-DOIS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANOS-DOIS.mp4,UFSC SignBank
ANOS-QUATRO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANOS-QUATRO.mp4,UFSC SignBank
ANOS-TRES,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANOS-TR%C3%8AS.mp4,UFSC SignBank
ANOS,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANOS.mp4,UFSC SignBank
ANOTAR,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANOTAR.mp4,UFSC SignBank
ANOTAR2,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANOTAR2.mp4,UFSC SignBank
ANSIEDADE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANSIEDADE.mp4,UFSC SignBank
ANTEONTEM,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANTEONTEM.mp4,UFSC SignBank
ANTERIORMENTE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANTERIORMENTE.mp4,UFSC SignBank
ANTES,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANTES.mp4,UFSC SignBank
ANTIGO,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANTIGO.mp4,UFSC SignBank
ANTOLOGIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANTOLOGIA.mp4,UFSC SignBank
ANTROPOLOGIA,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/ANTROPOLOGIA.mp4,UFSC SignBank
ANALISE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/AN%C3%81LISE.mp4,UFSC SignBank
APAE,https://videos.nals.cce.ufsc.br/SignBank/V%C3%ADdeos/APAE.mp4,UFSC SignBank
